N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
173,TIGER 미국필라델피아반도체나스닥,"8,660",205,+2.42%,0,"13,302","153,600",0.35,"1,707,064",N/A,N/A
174,현대백화점,"56,100","2,400",+4.47%,"5,000","13,129","23,402",22.70,"72,213",6.14,4.36
175,KODEX 2차전지산업,"19,465",125,+0.65%,0,"13,119","67,400",0.16,"1,542,637",N/A,N/A
176,롯데칠성,"140,000","1,000",+0.72%,500,"12,990","9,279",12.81,"18,499",8.54,9.96
177,효성티앤씨,"299,000","4,500",+1.53%,"5,000","12,940","4,328",9.92,"19,375",2.65,76.22
178,동원시스템즈,"43,850",450,+1.04%,"5,000","12,713","28,991",13.19,"11,327",27.35,6.95
179,DL,"60,600","1,900",+3.24%,"5,000","12,699","20,956",9.34,"40,702",8.16,26.52
180,TIGER 2차전지테마,"18,535",220,+1.20%,0,"12,539","67,650",0.09,"830,853",N/A,N/A
181,코오롱인더,"45,200","1,250",+2.84%,"5,000","12,439","27,519",17.50,"84,219",7.16,8.20
182,DGB금융지주,"7,290",80,+1.11%,"5,000","12,331","169,146",45.70,"488,971",2.42,9.63
183,대덕전자,"24,850",100,+0.40%,500,"12,280","49,417",19.26,"318,662",9.65,9.55
184,롯데제과,"128,500","2,500",+1.98%,500,"12,123","9,435",14.63,"5,724",24.96,2.88
185,현대일렉트릭,"33,600","1,400",+4.35%,"5,000","12,112","36,047",10.92,"240,504",-25.36,-5.08
186,한미반도체,"12,150",150,-1.22%,100,"12,019","98,920",5.25,"352,946",10.65,34.59
187,KODEX 종합채권(AA-이상)액티브,"98,235",265,-0.27%,0,"11,977","12,192",0.01,"16,157",N/A,N/A
188,한국앤컴퍼니,"12,450",550,+4.62%,500,"11,819","94,935",9.21,"99,519",5.23,5.53
189,대웅,"20,150",300,+1.51%,500,"11,716","58,142",4.54,"19,165",10.39,11.13
190,영풍,"634,000","4,000",+0.63%,"5,000","11,679","1,842",3.84,"2,407",6.52,3.66
191,삼천리,"283,000","10,500",+3.85%,"5,000","11,476","4,055",14.63,"28,240",15.28,4.52
192,롯데렌탈,"31,250","1,500",+5.04%,"5,000","11,448","36,634",4.76,"57,183",7.66,12.28
193,신풍제약,"21,500","1,300",+6.44%,500,"11,392","52,985",6.25,"444,975",-50.83,-3.19
194,후성,"12,300",100,-0.81%,500,"11,391","92,607",8.18,"976,469",15.28,9.61
195,동국제강,"11,750",200,+1.73%,"5,000","11,213","95,433",23.03,"350,222",1.42,23.41
196,금양,"18,900",100,+0.53%,500,"10,971","58,050",1.27,"5,853,569",60.97,13.57
197,일진하이솔루스,"30,200",150,+0.50%,500,"10,967","36,313",1.29,"62,830",122.76,4.97
198,KODEX 코스닥150레버리지,"6,700",325,+5.10%,0,"10,954","163,500",0.43,"34,916,175",N/A,N/A
199,SK가스,"116,500","5,000",+4.48%,"5,000","10,753","9,230",4.93,"10,891",4.58,12.41
200,솔루스첨단소재,"30,550",400,+1.33%,100,"10,726","35,111",6.03,"88,388",137.00,4.00
